"Município";"2020";"2021";" Total"
"120001 ACRELANDIA";"78,91";"47,46";"63,82"
"120005 ASSIS BRASIL";"55,65";"26,23";"41,06"
"120010 BRASILEIA";"56,32";"30,51";"44,32"
"120013 BUJARI";"38,76";"29,80";"34,32"
"120017 CAPIXABA";"23,05";"21,11";"22,17"
"120020 CRUZEIRO DO SUL";"42,87";"30,34";"36,65"
"120025 EPITACIOLANDIA";"30,93";"20,14";"25,56"
"120030 FEIJO";"43,70";"33,58";"38,75"
"120032 JORDAO";"69,92";"65,00";"67,81"
"120033 MANCIO LIMA";"66,76";"46,20";"57,12"
"120034 MANOEL URBANO";"37,93";"48,82";"42,80"
"120035 MARECHAL THAUMATURGO";"74,74";"24,57";"48,94"
"120038 PLACIDO DE CASTRO";"55,74";"31,51";"43,89"
"120039 PORTO WALTER";"54,26";"43,55";"49,25"
"120040 RIO BRANCO";"52,32";"47,99";"50,27"
"120042 RODRIGUES ALVES";"23,50";"16,67";"20,39"
"120043 SANTA ROSA DO PURUS";"74,75";"45,61";"61,25"
"120045 SENADOR GUIOMARD";"29,11";"21,47";"25,35"
"120050 SENA MADUREIRA";"69,23";"48,30";"59,30"
"120060 TARAUACA";"30,30";"28,05";"29,22"
"120070 XAPURI";"42,30";"46,69";"44,37"
"120080 PORTO ACRE";"37,21";"36,02";"36,68"
"150010 ABAETETUBA";"47,22";"38,60";"43,17"
"150013 ABEL FIGUEIREDO";"78,87";"54,55";"67,68"
"150020 ACARA";"63,31";"37,75";"51,16"
"150030 AFUA";"31,20";"20,32";"25,87"
"150034 AGUA AZUL DO NORTE";"54,42";"39,81";"47,27"
"150040 ALENQUER";"49,73";"28,77";"39,43"
"150050 ALMEIRIM";"27,92";"13,45";"20,84"
"150060 ALTAMIRA";"52,31";"48,69";"50,62"
"150070 ANAJAS";"57,66";"43,29";"50,86"
"150080 ANANINDEUA";"28,70";"15,42";"22,58"
"150085 ANAPU";"72,86";"54,85";"64,09"
"150090 AUGUSTO CORREA";"40,75";"36,52";"38,88"
"150095 AURORA DO PARA";"86,03";"46,67";"66,62"
"150100 AVEIRO";"86,25";"34,33";"62,59"
"150110 BAGRE";"26,76";"18,89";"23,01"
"150120 BAIAO";"46,03";"39,22";"43,16"
"150125 BANNACH";"55,10";"88,10";"70,33"
"150130 BARCARENA";"57,15";"15,41";"36,53"
"150140 BELEM";"43,51";"38,41";"41,13"
"150145 BELTERRA";"76,47";"28,82";"51,96"
"150150 BENEVIDES";"40,44";"30,57";"35,82"
"150157 BOM JESUS DO TOCANTINS";"59,56";"45,15";"51,72"
"150160 BONITO";"52,17";"50,78";"51,46"
"150170 BRAGANCA";"50,88";"36,41";"43,91"
"150172 BRASIL NOVO";"55,26";"50,34";"52,93"
"150175 BREJO GRANDE DO ARAGUAIA";"93,55";"72,83";"83,24"
"150178 BREU BRANCO";"47,26";"36,95";"42,40"
"150180 BREVES";"14,95";"19,05";"16,93"
"150190 BUJARU";"66,81";"42,92";"55,52"
"150195 CACHOEIRA DO PIRIA";"54,34";"25,80";"40,74"
"150200 CACHOEIRA DO ARARI";"68,48";"41,08";"55,12"
"150210 CAMETA";"60,70";"43,27";"52,23"
"150215 CANAA DOS CARAJAS";"60,45";"71,84";"65,76"
"150220 CAPANEMA";"68,46";"39,65";"54,55"
"150230 CAPITAO POCO";"62,33";"40,60";"51,13"
"150240 CASTANHAL";"65,71";"43,55";"54,85"
"150250 CHAVES";"31,18";"10,83";"21,87"
"150260 COLARES";"53,05";"15,97";"35,71"
"150270 CONCEICAO DO ARAGUAIA";"51,48";"57,72";"54,32"
"150275 CONCORDIA DO PARA";"66,47";"50,50";"58,46"
"150276 CUMARU DO NORTE";"28,92";"36,61";"32,95"
"150277 CURIONOPOLIS";"52,41";"25,52";"39,06"
"150280 CURRALINHO";"32,61";"30,42";"31,59"
"150285 CURUA";"35,94";"7,76";"20,92"
"150290 CURUCA";"53,77";"29,28";"41,39"
"150293 DOM ELISEU";"63,01";"63,74";"63,33"
"150295 ELDORADO DOS CARAJAS";"46,25";"9,03";"26,99"
"150300 FARO";"48,37";"37,72";"43,82"
"150304 FLORESTA DO ARAGUAIA";"54,60";"49,84";"52,29"
"150307 GARRAFAO DO NORTE";"85,40";"52,02";"68,03"
"150309 GOIANESIA DO PARA";"42,94";"29,69";"36,52"
"150310 GURUPA";"75,79";"31,27";"54,23"
"150320 IGARAPE-ACU";"73,94";"59,30";"66,98"
"150330 IGARAPE-MIRI";"55,78";"36,89";"46,33"
"150340 INHANGAPI";"50,29";"51,68";"50,93"
"150345 IPIXUNA DO PARA";"49,49";"28,01";"38,80"
"150350 IRITUIA";"69,76";"35,89";"52,86"
"150360 ITAITUBA";"38,96";"22,34";"31,04"
"150370 ITUPIRANGA";"60,95";"33,76";"47,40"
"150375 JACAREACANGA";"27,46";"16,70";"22,45"
"150380 JACUNDA";"62,28";"45,50";"54,38"
"150390 JURUTI";"63,34";"44,96";"54,19"
"150400 LIMOEIRO DO AJURU";"53,73";"39,53";"46,39"
"150405 MAE DO RIO";"63,69";"58,61";"61,25"
"150410 MAGALHAES BARATA";"114,44";"51,40";"80,20"
"150420 MARABA";"56,05";"46,47";"51,44"
"150430 MARACANA";"56,63";"50,16";"53,59"
"150440 MARAPANIM";"59,26";"33,33";"47,26"
"150442 MARITUBA";"45,37";"31,41";"38,66"
"150445 MEDICILANDIA";"82,51";"70,22";"76,45"
"150450 MELGACO";"28,29";"26,99";"27,63"
"150460 MOCAJUBA";"41,65";"38,86";"40,35"
"150470 MOJU";"22,62";"18,90";"20,78"
"150475 MOJUI DOS CAMPOS";"127,95";"56,03";"86,75"
"150480 MONTE ALEGRE";"44,99";"35,51";"40,58"
"150490 MUANA";"15,21";"15,04";"15,13"
"150495 NOVA ESPERANCA DO PIRIA";"67,88";"59,12";"63,92"
"150497 NOVA IPIXUNA";"88,07";"50,48";"69,63"
"150500 NOVA TIMBOTEUA";"65,84";"57,50";"62,28"
"150503 NOVO PROGRESSO";"85,02";"57,46";"72,26"
"150506 NOVO REPARTIMENTO";"44,57";"36,65";"40,88"
"150510 OBIDOS";"56,72";"37,76";"47,33"
"150520 OEIRAS DO PARA";"28,80";"21,39";"25,31"
"150530 ORIXIMINA";"44,12";"20,34";"32,15"
"150540 OUREM";"55,33";"52,46";"53,94"
"150543 OURILANDIA DO NORTE";"69,19";"47,22";"58,43"
"150548 PACAJA";"69,63";"57,67";"63,86"
"150549 PALESTINA DO PARA";"88,66";"80,21";"84,46"
"150550 PARAGOMINAS";"34,75";"34,02";"34,39"
"150553 PARAUAPEBAS";"50,83";"55,60";"53,11"
"150555 PAU D\'ARCO";"65,52";"38,18";"52,21"
"150560 PEIXE-BOI";"72,81";"48,28";"62,19"
"150563 PICARRA";"71,43";"66,23";"69,07"
"150565 PLACAS";"58,42";"51,35";"55,09"
"150570 PONTA DE PEDRAS";"99,43";"44,91";"72,73"
"150580 PORTEL";"24,58";"19,68";"22,17"
"150590 PORTO DE MOZ";"51,64";"29,97";"40,78"
"150600 PRAINHA";"45,05";"30,20";"38,05"
"150610 PRIMAVERA";"81,87";"44,00";"62,72"
"150611 QUATIPURU";"59,17";"69,80";"64,15"
"150613 REDENCAO";"38,90";"31,63";"35,44"
"150616 RIO MARIA";"58,61";"50,39";"54,61"
"150618 RONDON DO PARA";"60,69";"50,93";"56,36"
"150619 RUROPOLIS";"84,67";"61,39";"73,60"
"150620 SALINOPOLIS";"70,35";"60,03";"65,12"
"150630 SALVATERRA";"47,09";"50,49";"48,62"
"150635 SANTA BARBARA DO PARA";"46,67";"29,04";"38,43"
"150640 SANTA CRUZ DO ARARI";"38,20";"19,80";"28,42"
"150650 SANTA IZABEL DO PARA";"50,21";"25,74";"38,28"
"150655 SANTA LUZIA DO PARA";"47,38";"52,67";"49,76"
"150658 SANTA MARIA DAS BARREIRAS";"91,61";"39,59";"61,47"
"150660 SANTA MARIA DO PARA";"48,13";"10,31";"29,47"
