"Município";"2021";" Total"
"120001 ACRELANDIA";"47,46";"47,46"
"120005 ASSIS BRASIL";"26,23";"26,23"
"120010 BRASILEIA";"30,51";"30,51"
"120013 BUJARI";"29,80";"29,80"
"120017 CAPIXABA";"21,11";"21,11"
"120020 CRUZEIRO DO SUL";"30,34";"30,34"
"120025 EPITACIOLANDIA";"20,14";"20,14"
"120030 FEIJO";"33,58";"33,58"
"120032 JORDAO";"65,00";"65,00"
"120033 MANCIO LIMA";"46,20";"46,20"
"120034 MANOEL URBANO";"48,82";"48,82"
"120035 MARECHAL THAUMATURGO";"24,57";"24,57"
"120038 PLACIDO DE CASTRO";"31,51";"31,51"
"120039 PORTO WALTER";"43,55";"43,55"
"120040 RIO BRANCO";"47,99";"47,99"
"120042 RODRIGUES ALVES";"16,67";"16,67"
"120043 SANTA ROSA DO PURUS";"45,61";"45,61"
"120045 SENADOR GUIOMARD";"21,47";"21,47"
"120050 SENA MADUREIRA";"48,30";"48,30"
"120060 TARAUACA";"28,05";"28,05"
"120070 XAPURI";"46,69";"46,69"
"120080 PORTO ACRE";"36,02";"36,02"
"350010 ADAMANTINA";"62,78";"62,78"
"350020 ADOLFO";"92,11";"92,11"
"350030 AGUAI";"69,09";"69,09"
"350040 AGUAS DA PRATA";"104,17";"104,17"
"350050 AGUAS DE LINDOIA";"45,99";"45,99"
"350055 AGUAS DE SANTA BARBARA";"88,71";"88,71"
"350060 AGUAS DE SAO PEDRO";"147,06";"147,06"
"350070 AGUDOS";"63,37";"63,37"
"350075 ALAMBARI";"57,53";"57,53"
"350080 ALFREDO MARCONDES";"70,00";"70,00"
"350090 ALTAIR";"58,54";"58,54"
"350100 ALTINOPOLIS";"44,20";"44,20"
"350110 ALTO ALEGRE";"3,23";"3,23"
"350115 ALUMINIO";"57,40";"57,40"
"350120 ALVARES FLORENCE";"110,34";"110,34"
"350130 ALVARES MACHADO";"69,57";"69,57"
"350140 ALVARO DE CARVALHO";"43,75";"43,75"
"350150 ALVINLANDIA";"52,50";"52,50"
"350160 AMERICANA";"64,49";"64,49"
"350170 AMERICO BRASILIENSE";"72,45";"72,45"
"350180 AMERICO DE CAMPOS";"79,25";"79,25"
"350190 AMPARO";"60,52";"60,52"
"350200 ANALANDIA";"83,33";"83,33"
"350210 ANDRADINA";"57,94";"57,94"
"350220 ANGATUBA";"62,63";"62,63"
"350230 ANHEMBI";"50,67";"50,67"
"350240 ANHUMAS";"85,11";"85,11"
"350250 APARECIDA";"40,31";"40,31"
"350260 APARECIDA D\'OESTE";"51,35";"51,35"
"350270 APIAI";"51,80";"51,80"
"350275 ARACARIGUAMA";"16,43";"16,43"
"350280 ARACATUBA";"59,36";"59,36"
"350290 ARACOIABA DA SERRA";"55,00";"55,00"
"350300 ARAMINA";"66,10";"66,10"
"350310 ARANDU";"34,94";"34,94"
"350315 ARAPEI";"100,00";"100,00"
"350320 ARARAQUARA";"59,32";"59,32"
"350330 ARARAS";"68,42";"68,42"
"350335 ARCO-IRIS";"105,88";"105,88"
"350340 AREALVA";"81,69";"81,69"
"350350 AREIAS";"11,11";"11,11"
"350360 AREIOPOLIS";"49,09";"49,09"
"350370 ARIRANHA";"39,24";"39,24"
"350380 ARTUR NOGUEIRA";"30,40";"30,40"
"350390 ARUJA";"63,16";"63,16"
"350395 ASPASIA";"68,42";"68,42"
"350400 ASSIS";"49,41";"49,41"
"350410 ATIBAIA";"64,18";"64,18"
"350420 AURIFLAMA";"62,14";"62,14"
"350430 AVAI";"73,58";"73,58"
"350440 AVANHANDAVA";"80,17";"80,17"
"350450 AVARE";"60,59";"60,59"
"350460 BADY BASSITT";"82,56";"82,56"
"350470 BALBINOS";"100,00";"100,00"
"350480 BALSAMO";"85,88";"85,88"
"350490 BANANAL";"96,30";"96,30"
"350500 BARAO DE ANTONINA";"146,43";"146,43"
"350510 BARBOSA";"63,16";"63,16"
"350520 BARIRI";"39,84";"39,84"
"350530 BARRA BONITA";"20,70";"20,70"
"350535 BARRA DO CHAPEU";"97,06";"97,06"
"350540 BARRA DO TURVO";"32,10";"32,10"
"350550 BARRETOS";"51,41";"51,41"
"350560 BARRINHA";"65,56";"65,56"
"350570 BARUERI";"12,03";"12,03"
"350580 BASTOS";"58,97";"58,97"
"350590 BATATAIS";"49,12";"49,12"
"350600 BAURU";"55,10";"55,10"
"350610 BEBEDOURO";"68,88";"68,88"
"350620 BENTO DE ABREU";"70,97";"70,97"
"350630 BERNARDINO DE CAMPOS";"50,72";"50,72"
"350635 BERTIOGA";"48,02";"48,02"
"350640 BILAC";"39,47";"39,47"
"350650 BIRIGUI";"51,21";"51,21"
"350660 BIRITIBA-MIRIM";"53,49";"53,49"
"350670 BOA ESPERANCA DO SUL";"73,55";"73,55"
"350680 BOCAINA";"61,21";"61,21"
"350690 BOFETE";"38,74";"38,74"
"350700 BOITUVA";"64,50";"64,50"
"350710 BOM JESUS DOS PERDOES";"66,78";"66,78"
"350715 BOM SUCESSO DE ITARARE";"57,38";"57,38"
"350720 BORA";"18,18";"18,18"
"350730 BORACEIA";"65,00";"65,00"
"350740 BORBOREMA";"66,14";"66,14"
"350745 BOREBI";"60,00";"60,00"
"350750 BOTUCATU";"65,93";"65,93"
"350760 BRAGANCA PAULISTA";"74,64";"74,64"
"350770 BRAUNA";"61,67";"61,67"
"350775 BREJO ALEGRE";"24,00";"24,00"
"350780 BRODOWSKI";"47,72";"47,72"
"350790 BROTAS";"18,91";"18,91"
"350800 BURI";"75,00";"75,00"
"350810 BURITAMA";"61,08";"61,08"
"350820 BURITIZAL";"38,64";"38,64"
"350830 CABRALIA PAULISTA";"70,59";"70,59"
"350840 CABREUVA";"61,07";"61,07"
"350850 CACAPAVA";"58,56";"58,56"
"350860 CACHOEIRA PAULISTA";"41,41";"41,41"
"350870 CACONDE";"76,09";"76,09"
"350880 CAFELANDIA";"35,11";"35,11"
"350890 CAIABU";"82,86";"82,86"
"350900 CAIEIRAS";"40,30";"40,30"
"350910 CAIUA";"41,03";"41,03"
"350920 CAJAMAR";"49,30";"49,30"
"350925 CAJATI";"67,34";"67,34"
"350930 CAJOBI";"69,52";"69,52"
"350940 CAJURU";"41,75";"41,75"
"350945 CAMPINA DO MONTE ALEGRE";"100,00";"100,00"
"350950 CAMPINAS";"61,20";"61,20"
"350960 CAMPO LIMPO PAULISTA";"60,07";"60,07"
"350970 CAMPOS DO JORDAO";"75,15";"75,15"
"350980 CAMPOS NOVOS PAULISTA";"50,85";"50,85"
"350990 CANANEIA";"27,50";"27,50"
"350995 CANAS";"33,33";"33,33"
"351000 CANDIDO MOTA";"71,94";"71,94"
"351010 CANDIDO RODRIGUES";"67,86";"67,86"
"351015 CANITAR";"98,51";"98,51"
"351020 CAPAO BONITO";"60,85";"60,85"
"351030 CAPELA DO ALTO";"30,04";"30,04"
